id,title,subtitle,authors,isbn,publisherName,publicationYear,editionNumber,active,selectable,type,found,error
68374097,"Μηχανική Υγρών Αποβλήτων, 4η Έκδοση",,Metcalf &amp; Eddy,9789604187461,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2018,4η,True,True,Published,True,
68376077,Παραστατική Γεωμετρία,,Μαρκάτης Σ.,9789609321167,ΤΣΟΤΡΑΣ ΑΝ ΑΘΑΝΑΣΙΟΣ,2015,6η,True,True,Published,True,
68380141,ΤΕΧΝΙΚΑ ΕΡΓΑ ΥΠΟΔΟΜΗΣ,Κατασκευές στην επιφάνεια του βράχου. Υπόγειες κατασκευές. Φράγματα,ΧΡΗΣΤΟΣ ΜΑΡΑΓΚΟΣ,9607834003,ΝΙΚΟΛΑΟΣ ΜΑΡΑΓΚΟΣ,2000,2,True,True,Published,True,
68388013,ΣΤΑΤΙΚΗ ΤΩΝ ΚΑΤΑΣΚΕΥΩΝ Τόμος Ι,Θεμελιώδεις Αρχές και Ισοστατικοί Φορείς,ΑΒΡΑΜΙΔΗΣ ΙΩΑΝΝΗΣ,9789606706967,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2017,1η,True,True,Published,True,
68395205,ΣΤΑΤΙΚΗ ΤΩΝ ΚΑΤΑΣΚΕΥΩΝ Τόμος ΙΙ,Υπερστατικοί Φορείς Κλασικές Μέθοδοι Ανάλυσης και Μητρωική Στατική,ΑΒΡΑΜΙΔΗΣ ΙΩΑΝΝΗΣ,9789606706998,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2017,2η,True,True,Published,True,
68395522,ΑΝΤΙΣΕΙΣΜΙΚΟΣ ΣΧΕΔΙΑΣΜΟΣ ΚΤΙΡΙΩΝ Ο/Σ και ΑΡΙΘΜΗΤΙΚΑ ΠΑΡΑΔΕΙΓΜΑΤΑ ΑΝΑΛΥΣΗΣ &amp; ΔΙΑΣΤΑΣΙΟΛΟΓΗΣΗΣ ΣΥΜΦΩΝΑ ΜΕ ΤΟΥΣ ΕΥΡΩΚΩΔΙΚΕΣ,με ΠΑΡΑΡΤΗΜΑΤΑ κατασκευαστικών διατάξεων,"ΑΒΡΑΜΙΔΗΣ Ι., ΑΘΑΝΑΤΟΠΟΥΛΟΥ Α., ΜΟΡΦΙΔΗΣ Κ., ΣΕΞΤΟΣ Α.",9789606706974,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2017,2η,True,True,Published,True,
68403376,ΣΧΕΔΙΑΣΜΟΣ ΚΑΤΑΣΚΕΥΩΝ ΑΠΟ ΟΠΛΙΣΜΕΝΟ ΣΚΥΡΟΔΕΜΑ Ι,Σύμφωνα με τους Ευρωκώδικες,ΤΣΩΝΟΣ ΑΛΕΞΑΝΔΡΟΣ - ΔΗΜΗΤΡΙΟΣ,9789606706547,"""σοφία"" Ανώνυμη Εκδοτική & Εμπορική Εταιρεία",2017,1η,True,True,Published,True,
77106802,"Επιφανειακοί Φορείς: Δίσκοι, Πλάκες και Κελύφη",,"Μακάριος Τριαντάφυλλος, Μανώλης Γεώργιος",9789604187683,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2018,1η,True,True,Published,True,
77106818,"Αριθμητικές Μέθοδοι για Μηχανικούς, 7η Έκδοση Βελτιωμένη",,"Chapra S. - Canale R.,Φραγκίσκος Κουτελιέρης (επιμέλεια)",9789604187638,ΕΚΔΟΣΕΙΣ Α. ΤΖΙΟΛΑ & ΥΙΟΙ Α.Ε.,2018,7η Βελτιωμένη,True,True,Published,True,
77106980,ΜΑΘΗΜΑΤΙΚΑ ΙΙ,"ΣΥΝΑΡΤΗΣΕΙΣ ΠΟΛΛΩΝ ΜΕΤΑΒΛΗΤΩΝ, ΒΕΛΤΙΣΤΟΠΟΙΗΣΕΙΣ, ΔΙΑΝΥΣΜΑΤΙΚΑ ΠΕΔΙΑ, ΔΙΑΦΟΡΙΚΕΣ ΕΞΙΣΩΣΕΙΣ","ΠΕΤΡΑΚΗΣ Λ. ΑΝΔΡΕΑΣ, ΠΕΤΡΑΚΗ Α. ΔΩΡΟΘΕΑ, ΠΕΤΡΑΚΗΣ Α. ΛΕΩΝΙΔΑΣ",9786188324428,ΠΕΤΡΑΚΗ ΔΩΡΟΘΕΑ,2018,1,True,False,Published,True,
