Τίτλος,Καθηγητής,Κωδικός μαθήματος,Εξάμηνο,Περίοδος,Από που δίνονται τα βιβλία,Book id,Σειρά επιλογής,Ενεργό
Προσομοίωση και Ανάλυση Κατασκευών,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ,ΔΟΜ025,8,Earino,EUDOXUS,59369378,1,true
Αρχιτεκτονικός Σχεδιασμός,ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ027,8,Earino,EUDOXUS,122092020,0,true
Αρχιτεκτονικός Σχεδιασμός,ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ027,8,Earino,EUDOXUS,59358514,2,true
Αρχιτεκτονικός Σχεδιασμός,ΔΑΝΙΗΛ ΜΑΡΙΑ,ΔΟΜ027,8,Earino,EUDOXUS,122074113,1,true
Ελαστική Ευστάθεια,,ΔΟΜ028,8,Earino,EUDOXUS,50659263,0,true
Ψηφιακά  Συστήματα Σχεδιασμού,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ029,8,Earino,EUDOXUS,77107672,1,true
Ψηφιακά  Συστήματα Σχεδιασμού,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ029,8,Earino,EUDOXUS,12777813,0,true
Ψηφιακά  Συστήματα Σχεδιασμού,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ029,8,Earino,EUDOXUS,122089032,3,true
Ψηφιακά  Συστήματα Σχεδιασμού,ΒΛΑΧΟΝΑΣΙΟΥ ΕΛΕΝΗ,ΔΟΜ029,8,Earino,EUDOXUS,77110959,2,true
Ειδικά Θέματα Μεταλλικών Κατασκευών,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ,ΔΟΜ030,8,Earino,EUDOXUS,13874,1,true
Ειδικά Θέματα Μεταλλικών Κατασκευών,ΚΙΡΤΑΣ ΕΜΜΑΝΟΥΗΛ,ΔΟΜ030,8,Earino,EUDOXUS,33153304,0,true
Ειδικά Θέματα Οδοποιίας,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ012,8,Earino,EUDOXUS,112696634,0,true
Ειδικά Θέματα Οδοποιίας,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ012,8,Earino,EUDOXUS,33154221,1,true
Ειδικά Θέματα Οδοποιίας,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ012,8,Earino,EUDOXUS,133033882,2,true
Οδική Ασφάλεια,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ014,8,Earino,EUDOXUS,11038,1,true
Οδική Ασφάλεια,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ014,8,Earino,EUDOXUS,9664,0,true
Περιβαλλοντικές Επιπτώσεις Συγκοινωνιακών Έργων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ015,8,Earino,EUDOXUS,41959119,0,true
Περιβαλλοντικές Επιπτώσεις Συγκοινωνιακών Έργων,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ,ΣΥΓ015,8,Earino,EUDOXUS,9764,1,true
Διαχείριση Υδατικών Πόρων και Πλημμυρικού Κινδύνου,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ009,8,Earino,EUDOXUS,12718796,2,true
Διαχείριση Υδατικών Πόρων και Πλημμυρικού Κινδύνου,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ009,8,Earino,EUDOXUS,77117411,1,true
Κυματομηχανική και Έργα Ανοικτής Θάλασσας,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ011,8,Earino,EUDOXUS,94690348,0,true
Υδραυλική Περιβάλλοντος,,ΥΔΡ012,8,Earino,EUDOXUS,845,0,true
Διαχείριση Οδικών Έργων και Κυκλοφορίας,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ013,8,Earino,EUDOXUS,9720,0,true
Διαχείριση Οδικών Έργων και Κυκλοφορίας,ΜΙΚΙΚΗ ΦΩΤΕΙΝΗ,ΣΥΓ013,8,Earino,EUDOXUS,112696634,1,true
Παράκτια Μηχανική και Λιμενικά Έργα,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,ΥΔΡ013,9,Ximerino,EUDOXUS,94690348,0,true
